"sample","PC1","PC2","PC3","group","cohort"
"HCC_31",6.64239441965163,0.0167720262305815,-2.47932932218292,"HCC","GU"
"HCC_32",6.81199198378228,-5.20212441053832,-1.83092227653366,"HCC","GU"
"HCC_33",-2.80952921612569,2.91710757422571,-0.113905251928436,"HCC","GU"
"HCC_34",11.4037271501696,1.77174457597767,1.37071115240564,"HCC","GU"
"HCC_35",-7.85303180444988,0.0564694538910501,2.71515303456606,"HCC","GU"
"HCC_36",-4.28112792349397,-3.00657771424594,-0.621902450801679,"HCC","GU"
"HCC_37",3.79071317948391,-1.10682580019199,-1.58918846557949,"HCC","GU"
"HCC_38",-3.07773030728744,0.555637622754655,0.420947586982575,"HCC","GU"
"HCC_39",5.22610003568583,1.92214775279645,1.12161940791075,"HCC","GU"
"HCC_4",-0.986768631530442,3.86283866186931,0.0569749257882725,"HCC","GU"
"HCC_40",5.07535018334516,5.14535373437529,-1.52814385129745,"HCC","GU"
"HCC_41",-5.50534166633023,2.58631374114021,0.717230003592411,"HCC","GU"
"HCC_42",-7.34471010413767,0.112354135882307,0.964498731484316,"HCC","GU"
"HCC_43",3.04568962201862,-0.517930419276029,0.59520902674495,"HCC","GU"
"HCC_44",-4.24039126177799,1.00463099861761,4.12130608987191,"HCC","GU"
"HCC_45",4.46888515690482,3.39212962639908,1.25244442355299,"HCC","GU"
"HCC_46",8.55565507861118,0.0633978651989657,0.806684257205225,"HCC","GU"
"HCC_47",1.98835568832074,-1.13361121378506,1.20160458009262,"HCC","GU"
"HCC_48",2.66472739444343,-2.74505711747503,0.799440791943409,"HCC","GU"
"HCC_49",6.95286878292409,-0.624381860753753,1.35789859297619,"HCC","GU"
"HCC_5",-1.13328776181911,6.89834945667995,-0.451157495298947,"HCC","GU"
"HCC_50",9.18943225200766,-0.265413358874267,1.36246409226765,"HCC","GU"
"HCC_51",8.76517775047008,-2.35613120975992,-0.112788094538383,"HCC","GU"
"HCC_52",7.26119051023547,3.41478741574446,0.1633624901768,"HCC","GU"
"HCC_53",-2.48228557703663,1.71009668590657,2.06876300448973,"HCC","GU"
"HCC_54",8.91174255308428,-0.63459854324516,-4.43634687206665,"HCC","GU"
"HCC_55",-0.587279123332015,5.02614478000253,0.0716668240755226,"HCC","GU"
"HCC_56",1.66723611595286,3.71835186618173,0.0385883511910274,"HCC","GU"
"HCC_57",1.93636814570601,5.30668903000558,-1.20601316051649,"HCC","GU"
"HCC_6",-3.32829299161104,2.28610611463198,-1.67555683987488,"HCC","GU"
"HCC_7",0.799497169000673,5.77537515816184,0.702247401013123,"HCC","GU"
"HCC_8",-3.90538763040539,3.84027926838791,-0.0838898463066847,"HCC","GU"
"HCC_9",10.9956778325314,-0.891155296046612,5.3109975243278,"HCC","GU"
"CIRR 01",-1.71374632611799,2.60096021189316,-1.70349284761599,"Cirrhosis","TU"
"CIRR 02",-10.6942193041351,-1.01730796206441,-4.81755956783612,"Cirrhosis","TU"
"CIRR 03",-2.29908719669574,2.53216122507079,-3.63484905755747,"Cirrhosis","TU"
"CIRR 04",1.12976168014707,0.628620149786329,-6.57046707793406,"Cirrhosis","TU"
"CIRR 05",7.05253208458017,0.00637276151103797,-4.23403196587963,"Cirrhosis","TU"
"CIRR 06",-0.375121913826669,-0.573061485406664,-5.87618622353706,"Cirrhosis","TU"
"CIRR 07",6.37679594024018,0.153423896725226,-4.51985733729473,"Cirrhosis","TU"
"CIRR 08",4.50562733648068,2.89119058275291,-1.20181724235121,"Cirrhosis","TU"
"CIRR 09",-3.45654895071709,0.488833808020072,-3.82695815469397,"Cirrhosis","TU"
"CIRR 10",-13.6910800741939,-4.51472726429037,-7.49265681994693,"Cirrhosis","TU"
"CIRR 11",-2.76992877823909,3.22999866123288,-4.32521619333218,"Cirrhosis","TU"
"CIRR 12",-1.97880651173035,2.52256012118314,-3.81314197221631,"Cirrhosis","TU"
"CIRR 13",-2.71872608159544,-2.07208716870235,-4.10215261676314,"Cirrhosis","TU"
"CIRR 14",-6.74110863888579,6.97161894112516,-2.09473949827716,"Cirrhosis","TU"
"CIRR 15",1.94777665763497,2.04706895743472,-2.53036800716636,"Cirrhosis","TU"
"CIRR 16",7.07861142320929,2.69015006557997,-2.51306954514928,"Cirrhosis","TU"
"CIRR 17",-0.422625649997846,3.38445258584573,-1.59857152909536,"Cirrhosis","TU"
"CIRR 18",-1.22028233235792,-1.39766009381973,-6.67771940729316,"Cirrhosis","TU"
"CIRR 19",-2.4345020530451,0.657997426491527,-2.61150746845705,"Cirrhosis","TU"
"CIRR 20",-3.15301114097078,0.364565330750331,-4.31445778788804,"Cirrhosis","TU"
"CIRR 21",6.14402287876507,-4.51581096274668,0.690560306797414,"Cirrhosis","TU"
"CIRR 22",10.2382357173618,-1.31459643057078,1.28428164986822,"Cirrhosis","TU"
"CIRR 23",-0.591316492894246,1.73784369272138,-1.54919179646997,"Cirrhosis","TU"
"CIRR 24",-0.755516840161522,0.338781564753668,-1.37419985991217,"Cirrhosis","TU"
"CIRR 25",-11.1825700100881,-4.72615919518908,-1.53926963675715,"Cirrhosis","TU"
"CIRR 26",-2.07888023160566,0.775427020027002,1.07566989897479,"Cirrhosis","TU"
"CIRR 27",-7.63060330637007,0.433947902830808,1.9472585462049,"Cirrhosis","TU"
"CIRR 28",4.66547207819632,1.52751866912218,2.50337521886557,"Cirrhosis","TU"
"CIRR 29",-7.19061759414326,0.501691321266522,1.63454463137236,"Cirrhosis","TU"
"CIRR 30",-3.17482571181727,0.419505162034689,1.97136577943875,"Cirrhosis","TU"
"CIRR 31",-10.2365980577116,-2.00646158597401,0.989377713922457,"Cirrhosis","TU"
"CIRR 32",4.57604095602735,-3.22560579673556,3.15779576892753,"Cirrhosis","TU"
"CIRR 33",-0.662942776430953,-3.2363216883086,2.87537802617505,"Cirrhosis","TU"
"CIRR 34",-10.6102966178059,-2.27144477071489,1.9863479828746,"Cirrhosis","TU"
"CIRR 35",-0.426284904904827,0.741101622683419,1.07411314347262,"Cirrhosis","TU"
"CIRR 36",-0.582961201039121,0.184044102429517,1.84403641388221,"Cirrhosis","TU"
"CIRR 37",-1.97620617439044,-3.0104063828137,-1.38780473264351,"Cirrhosis","TU"
"CIRR 38",7.87849503233553,-0.531623029708988,2.13029449762724,"Cirrhosis","TU"
"CIRR 39",-3.41220572307363,0.0478659700029287,1.7427378281504,"Cirrhosis","TU"
"CIRR 40",-10.52714795895,-0.409498047742241,2.40258899054862,"Cirrhosis","TU"
"CIRR 41",-2.50374442856965,-1.42343390585037,1.28020339081666,"Cirrhosis","TU"
"CIRR 42",-3.52269055286521,-2.4115970671093,3.549179917263,"Cirrhosis","TU"
"CIRR 43",-8.42770344527315,-0.794705658651151,6.17826729096879,"Cirrhosis","TU"
"CIRR 44",1.98464719927817,-2.7783890001284,3.41932908911759,"Cirrhosis","TU"
"CIRR 45",3.71610083204605,-6.68009496113924,0.27293443983198,"Cirrhosis","TU"
"CIRR 46",-0.949814615721432,-2.80161617892061,2.95480867034874,"Cirrhosis","TU"
"CIRR 47",-0.151362547785197,-1.78279257250508,3.23318248814187,"Cirrhosis","TU"
"CIRR 48",-12.5234235822991,3.50313158909986,5.59462376319902,"Cirrhosis","TU"
"CIRR 49",-10.0894950048571,3.46305704217903,3.73315422234683,"Cirrhosis","TU"
"HCC 01",12.630977005443,0.422876856003241,-1.80260622306143,"HCC","TU"
"HCC 02",-2.54650249336583,-2.58448084245786,-5.90699126274784,"HCC","TU"
"HCC 03",11.0993537553718,1.61278073202007,-1.19033715350867,"HCC","TU"
"HCC 04",6.40495172520646,6.82939705603532,-2.27636470781319,"HCC","TU"
"HCC 05",13.5852773620004,-3.24712102838974,-2.16108699447909,"HCC","TU"
"HCC 06",-2.84068616831037,4.78110575128058,-4.62234879389639,"HCC","TU"
"HCC 07",15.1220361455529,1.73055336523081,-1.5628530277124,"HCC","TU"
"HCC 08",-8.86724697496706,0.73357313535837,-2.23629897393656,"HCC","TU"
